description,amount,category
Swiggy food order,450,Food
Zomato dinner,320,Food
Uber ride to office,220,Travel
Ola cab home,180,Travel
Netflix monthly subscription,199,Entertainment
Amazon shopping electronics,2499,Shopping
Flipkart shoes purchase,1799,Shopping
Electricity bill payment,1200,Bills
Mobile recharge Jio,239,Bills
Rent payment,12000,Rent
Gym membership,1500,Health
Doctor consultation,800,Health
Movie tickets PVR,600,Entertainment
Spotify premium,119,Entertainment
Petrol refill,1000,Travel
Bus pass monthly,500,Travel
Coffee at Starbucks,350,Food
Lunch at restaurant,650,Food
Internet broadband bill,999,Bills
Water bill payment,300,Bills
Medicines purchase,420,Health
Laptop accessories Amazon,899,Shopping
Clothes shopping mall,2500,Shopping
Snacks from bakery,180,Food
Dinner with friends,1200,Food
Cab to airport,850,Travel
OTT subscription Hotstar,299,Entertainment
Book purchase online,450,Shopping
Gas cylinder booking,1100,Bills
Health insurance premium,3000,Health
Lunch,Food
Lunch expense,Food
Lunch payment,Food
Office lunch,Food
Lunch meal,Food
